Date, Now , Opening , High , Low , Hac. ,Fark %
3/1/2024, 164.80 , 162.20 , 165.50 , 161.40 , 23.88 ,1.85%
2/29/2024, 161.80 , 162.20 , 164.40 , 159.70 , 21.88 ,0.19%
2/28/2024, 161.50 , 160.30 , 164.40 , 158.80 , 26.61 ,0.81%
2/27/2024, 160.20 , 160.70 , 163.10 , 160.10 , 25.32 ,-0.25%
2/26/2024, 160.60 , 164.50 , 165.20 , 160.50 , 22.70 ,-2.13%
2/23/2024, 164.10 , 164.40 , 166.70 , 163.40 , 20.21 ,0.06%
2/22/2024, 164.00 , 166.10 , 167.00 , 163.40 , 24.78 ,-0.73%
2/21/2024, 165.20 , 171.60 , 171.70 , 163.60 , 31.68 ,-3.56%
2/20/2024, 171.30 , 173.40 , 175.60 , 169.80 , 30.29 ,-0.98%
2/19/2024, 173.00 , 169.70 , 176.50 , 169.60 , 50.10 ,3.59%
2/16/2024, 167.00 , 167.60 , 168.70 , 165.70 , 25.01 ,-0.24%
2/15/2024, 167.40 , 165.00 , 168.00 , 164.50 , 31.45 ,1.70%
2/14/2024, 164.60 , 160.90 , 164.70 , 160.80 , 38.00 ,2.49%
2/13/2024, 160.60 , 163.00 , 165.80 , 160.60 , 37.13 ,-1.35%
2/12/2024, 162.80 , 159.00 , 164.60 , 158.30 , 56.44 ,3.23%
2/9/2024, 157.70 , 158.60 , 158.80 , 156.20 , 25.53 ,-0.06%
2/8/2024, 157.80 , 154.70 , 159.40 , 154.60 , 39.58 ,2.27%
2/7/2024, 154.30 , 154.70 , 157.50 , 154.20 , 35.17 ,-0.13%
2/6/2024, 154.50 , 155.70 , 156.60 , 153.40 , 25.40 ,-0.39%
2/5/2024, 155.10 , 157.00 , 157.50 , 154.30 , 20.77 ,-0.13%
2/2/2024, 155.30 , 155.30 , 157.70 , 153.70 , 22.34 ,0.39%
2/1/2024, 154.70 , 150.40 , 155.70 , 150.40 , 30.38 ,3.13%
1/31/2024, 150.00 , 150.70 , 153.60 , 149.70 , 24.23 ,-0.20%
1/30/2024, 150.30 , 152.70 , 153.90 , 150.30 , 20.11 ,-1.31%
1/29/2024, 152.30 , 148.40 , 154.30 , 148.30 , 31.07 ,3.18%
1/26/2024, 147.60 , 145.20 , 147.80 , 144.20 , 20.73 ,1.93%
1/25/2024, 144.80 , 143.50 , 145.10 , 142.30 , 18.69 ,1.61%
1/24/2024, 142.50 , 140.40 , 143.40 , 139.80 , 14.29 ,1.79%
1/23/2024, 140.00 , 142.90 , 143.80 , 139.50 , 15.54 ,-0.85%
1/22/2024, 141.20 , 140.00 , 142.40 , 139.40 , 18.15 ,1.36%
1/19/2024, 139.30 , 140.10 , 140.20 , 138.60 , 16.49 ,-0.43%
1/18/2024, 139.90 , 143.00 , 143.30 , 139.90 , 14.07 ,-1.55%
1/17/2024, 142.10 , 142.50 , 143.70 , 141.10 , 17.27 ,-0.77%
1/16/2024, 143.20 , 141.40 , 143.90 , 141.40 , 24.45 ,1.63%
